family,quant,repos,downloads
swallowmaid,q8,1,4
szilviab,q2,8,860
szilviab,q4,2,5
szilviab,q5,2,8
szilviab,q6,1,6
szilviab,q8,2,18
t,q2,3,215
t,q4,2,4
t,q5,1,0
t,q8,2,7
t5,none,1,17
teuken,none,1,8
tifa,q4,1,0
tigers,none,1,3
tigers,q2,3,510
tiny,none,1,2
tinyr1,none,5,43
tinyr1,q2,2,264
triangulum,none,1,217
unaligned,q2,4,170
uncensored,none,15,202
uncensored,q2,15,3554
uncensored,q6,1,0
uncensoredlm,none,1,40
uncensoredlm,q2,2,64
unfilteredai,none,1,9
unfilteredai,q2,2,741
uwu,none,1,9
uwu,q2,2,190
uwu,q4,2,10
uwu,q5,3,6
uwu,q6,1,5
uwu,q8,1,8
vanilla,q2,3,593
vecteus,int4,1,0
vecteus,q4,1,2
vecteus,q8,2,30
vicuna,none,2,0
vicuna,q2,2,303
vicuzard,q2,1,186
vmlu,none,2,13
vmlu,q2,1,86
westlake,none,2,35
westlake,q4,1,15
westlake,q6,1,39
wizard,fp16,4,843
wizard,none,10,10126
wizard,q2,10,25658
wizard,q3,1,16
wizardlm,fp16,1,95
wizardlm,fp32,4,1085
wizardlm,none,13,3006
wizardlm,q2,33,22368
wizardlm,q3,1,20
wizardlm,q4,6,220
wizardlm,q5,2,13
wizardlm,q6,1,3
wizardlm,q8,1,11
wizardvicuna,q2,1,137
writing,none,1,1
writing,q2,4,4292
writing,q4,1,1179
writing,q8,1,30
x,q4,1,35
xlm,none,1,10
xortron22b,q2,2,345
xortron22b,q4,1,0
xortron22b,q5,1,3
xortron22b,q6,1,0
yi,none,8,20098
yi,q2,9,2655
yi,q4,3,51
zephyr,none,1,2
zeus,none,3,18
zeus,q2,10,3083
zeus,q4,1,9
