ts_month,family,new_canonical_models,downloads_canonical
2025-04-01,opencoder,1,490
2025-04-01,openhands,2,199
2025-04-01,openthinker2,2,508
2025-04-01,phi,2,523
2025-04-01,q3,1,47
2025-04-01,qwen,37,28318
2025-04-01,qwq,2,1352
2025-04-01,roleplay,1,37
2025-04-01,roleplayv2e6,1,46
2025-04-01,scifi,1,536
2025-04-01,sex,1,8282
2025-04-01,vicuzard,1,186
2025-04-01,x,1,35
2025-05-01,,1,161
2025-05-01,am,2,401
2025-05-01,command,1,138
2025-05-01,devstral,1,3
2025-05-01,dippy,1,115
2025-05-01,dirty,1,18735
2025-05-01,foundation,2,109
2025-05-01,gemma,24,37677
2025-05-01,ii,1,56
2025-05-01,internlm,1,130
2025-05-01,jailbreak,1,66
2025-05-01,l2,1,104
2025-05-01,llama,5,2510
2025-05-01,mistral,2,373
2025-05-01,model,1,30
2025-05-01,nemotron,3,267
2025-05-01,none,14,1433
2025-05-01,phi,7,975
2025-05-01,qwen,51,34363
2025-05-01,qwq,1,243
2025-05-01,seed,2,72
2025-05-01,vanilla,2,503
2025-05-01,wizardvicuna,1,137
2025-06-01,apollo,1,147
2025-06-01,baronllm,1,268
2025-06-01,deepseek,1,0
2025-06-01,devstral,1,864
2025-06-01,exaone,2,311
2025-06-01,gemma,4,1047
2025-06-01,gigachat,1,1136
2025-06-01,homunculus,1,528
2025-06-01,homunculus'],1,35
2025-06-01,huihui,10,13105
2025-06-01,janus,1,986
2025-06-01,l3,1,182
2025-06-01,l3.1,1,1
2025-06-01,llama,7,7277
2025-06-01,magistral,1,1330
2025-06-01,medraq,1,163
2025-06-01,mimo,2,4
2025-06-01,minimedra,1,194
2025-06-01,mistral,2,680
2025-06-01,model,5,176
2025-06-01,nemotron,1,313
2025-06-01,none,24,3748
2025-06-01,nvila,1,24
2025-06-01,procyon,1,97
2025-06-01,qwen,27,29382
2025-07-01,codet5p,1,13
2025-07-01,deep,1,209
2025-07-01,drakidol,1,1013
2025-07-01,drmedra4b,3,859
2025-07-01,exaone,2,135
2025-07-01,falcon,1,452
2025-07-01,gemma,8,2847
2025-07-01,glm,1,163
2025-07-01,granite,1,365
2025-07-01,huihui,4,2059
2025-07-01,internvl3,4,438
2025-07-01,jan,2,119
2025-07-01,kat,1,703
2025-07-01,lingshu,1,389
2025-07-01,llama,5,1995
2025-07-01,magistral,1,0
2025-07-01,medguide,1,308
2025-07-01,medran,1,201
2025-07-01,mistral,4,30893
2025-07-01,none,31,3262
2025-07-01,qwen,7,2325
2025-07-01,smollm3,1,59
2025-07-01,vicuna,1,0
2025-08-01,a.x,1,284
2025-08-01,baichuan,1,12926
2025-08-01,datarus,1,572
2025-08-01,deepseek,1,34
2025-08-01,doctor,1,5001
2025-08-01,doujinshi,1,0
2025-08-01,flux.1,1,16
2025-08-01,gemma,5,6458
2025-08-01,glm,3,5834
2025-08-01,gpt,8,66410
2025-08-01,huihui,9,34056
2025-08-01,innospark,1,18120
2025-08-01,internvl3,1,22
2025-08-01,jan,1,23
2025-08-01,kimi,1,95
2025-08-01,llama,4,1048
2025-08-01,medgpt,1,272
2025-08-01,medra4b,1,454
2025-08-01,medran,2,575
2025-08-01,mindlink,1,17836
2025-08-01,none,25,995
2025-08-01,qwen,36,113677
2025-08-01,seed,1,1530
2025-08-01,smollm,2,157
